District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Joondalup District,16,Possess Weapon to Cause Fear (Non-Family),131.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Possession of Drug Paraphernalia,1546.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Receiving Stolen Property,50.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Regulated Weapons Offences,534.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Robbery (Business),25.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Robbery (Non-Business),125.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Serious Assault (Family),230.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Serious Assault (Non-Family),313.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Sexual Assault,395.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Stealing (Not Elsewhere Classified),8544.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Stealing From Dwelling,0.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Stealing From Other Premises or Place,0.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Stealing From Retail Premises (Shoplift),0.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Stealing as a Servant,28.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Stealing of Motor Vehicle,843.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Threatening Behaviour (Family),236.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Threatening Behaviour (Non-Family),104.0,607592.0,658944.0,51352.0,8.45
Kimberley District,16,Assault Police Officer,72.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Attempted / Conspiracy to Murder,3.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Breach of Family Violence Restraint Order,461.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Breach of Police Order,283.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Breach of Violence Restraint Order,55.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Burglary (Dwelling),764.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Burglary (Non-Dwelling),536.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Cause Bushfire,6.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Cause Damage by Fire,43.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Common Assault (Family),1637.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Common Assault (Non-Family),282.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Criminal Damage,266.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Cultivate or Manufacture Drugs,4.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Damage,1153.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Deprivation of Liberty,15.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Driving Causing Death,3.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Drug Dealing,159.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Drug Possession,608.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Forgery,1.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Fraud (Credit Card),0.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Fraud (Not Elsewhere Classified),409.0,47019.0,51852.0,4833.0,10.28
